secolo	parola	freq_normal
16	drink	0.14619883
16	eat	0.14035088
16	dainty	0.12865497
16	taste	0.08771930
16	delicious	0.07602339
16	insipid	0.05847953
16	drinking	0.04678363
16	drank	0.04093567
16	juicy	0.03508772
16	eating	0.02923977
16	seasoned	0.02339181
16	eaten	0.02339181
16	ate	0.02339181
16	relish	0.01754386
16	drunk	0.01754386
16	tasted	0.01169591
16	unsavory	0.01169591
16	sweet	0.01169591
16	drinks	0.01169591
16	flavour	0.01169591
16	sweetened	0.00584795
16	sweetening	0.00584795
16	flavor	0.00584795
16	eaten out	0.00584795
16	savour	0.00584795
16	sweeten up	0.00584795
16	season	0.00584795
16	eats	0.00584795
17	sweet	0.17176471
17	eat	0.15663866
17	drink	0.09142857
17	taste	0.08134454
17	season	0.04000000
17	bitter	0.03899160
17	eaten	0.02857143
17	savoury	0.02621849
17	seasoned	0.02487395
17	sharp	0.02352941
17	sweeten	0.02050420
17	eating	0.01747899
17	tast	0.01344538
17	delicious	0.01075630
17	tasted	0.01008403
17	stale	0.01008403
17	acid	0.00974790
17	drunk	0.00941176
17	sour	0.00941176
17	bitterness	0.00907563
17	insipid	0.00873950
17	drank	0.00840336
17	sower	0.00806723
17	relish	0.00773109
17	drinking	0.00773109
17	tart	0.00638655
17	dainty	0.00537815
17	pungent	0.00537815
17	rancid	0.00537815
17	savour	0.00504202
17	rank	0.00470588
17	palatable	0.00436975
17	partake	0.00436975
17	tastes	0.00403361
17	sweeter	0.00403361
17	tasting	0.00403361
17	eats	0.00336134
17	seasoning	0.00336134
17	drinks	0.00302521
17	eat up	0.00302521
17	sweetness	0.00302521
17	flavour	0.00268908
17	unsavoury	0.00268908
17	sweetened	0.00268908
17	acide	0.00268908
17	distasteful	0.00235294
17	disgust	0.00235294
17	disgusting	0.00235294
17	spicy	0.00201681
17	eate	0.00201681
17	drinke	0.00201681
17	rankness	0.00168067
17	flavor	0.00134454
17	sowre	0.00134454
17	delectable	0.00134454
17	sharpness	0.00134454
17	savory	0.00134454
17	digestible	0.00134454
17	juycy	0.00134454
17	sowers	0.00134454
17	unpalatable	0.00134454
17	gust	0.00100840
17	d	0.00100840
17	delicacy	0.00100840
17	sweetest	0.00100840
17	savours	0.00100840
17	drinketh	0.00100840
17	distaste	0.00100840
17	smack	0.00100840
17	seasoneth	0.00100840
17	sweetned	0.00100840
17	drink up	0.00100840
17	sweetnesse	0.00100840
17	flavored	0.00067227
17	season '	0.00067227
17	' d	0.00067227
17	acidity	0.00067227
17	piquant	0.00067227
17	insulse	0.00067227
17	sapid	0.00067227
17	salt	0.00067227
17	drink bitter	0.00067227
17	unsavoury taste	0.00067227
17	appetizing	0.00067227
17	indigestible	0.00067227
17	relished	0.00067227
17	tastable	0.00067227
17	loathsome	0.00067227
17	sowred	0.00067227
17	sweete	0.00067227
17	bittere	0.00067227
17	eat out	0.00067227
17	unsweet	0.00067227
17	insipidity	0.00067227
17	tasteless	0.00067227
17	swet	0.00067227
17	rellishing	0.00067227
17	drunke	0.00067227
17	soure	0.00067227
17	tastefull	0.00067227
17	tasteful	0.00067227
17	sharper	0.00067227
17	sourness	0.00067227
17	flavoring	0.00033613
17	sapidity	0.00033613
17	palatable relish	0.00033613
17	taster	0.00033613
17	sapor	0.00033613
17	tartness	0.00033613
17	the taste	0.00033613
17	tasters	0.00033613
17	eaten sour	0.00033613
17	sip	0.00033613
17	distastes	0.00033613
17	taste -	0.00033613
17	tast sharp	0.00033613
17	drunk out	0.00033613
17	tasts	0.00033613
17	swete	0.00033613
17	savoury mellow	0.00033613
17	mellow tast	0.00033613
17	eating up	0.00033613
17	drink out	0.00033613
17	tast sower	0.00033613
17	sower relish	0.00033613
17	out	0.00033613
17	displease	0.00033613
17	sap	0.00033613
17	partook	0.00033613
17	savor	0.00033613
17	rellish	0.00033613
17	softnesse	0.00033613
17	dranke	0.00033613
17	acidnesse	0.00033613
17	acide taste	0.00033613
17	ate	0.00033613
17	drunk off	0.00033613
17	savour rankly	0.00033613
17	rankly	0.00033613
17	lushiousness	0.00033613
17	sweetnes	0.00033613
17	aromatise	0.00033613
17	toste	0.00033613
17	drunk up	0.00033613
17	taste sweet	0.00033613
17	sowerness	0.00033613
17	eaten out	0.00033613
17	sweeting	0.00033613
17	tasteth	0.00033613
17	pungency	0.00033613
17	rancidity	0.00033613
17	bitter taste	0.00033613
17	flatness	0.00033613
17	up	0.00033613
18	drink	0.27348693
18	eat	0.13059568
18	taste	0.08988898
18	drinking	0.06601409
18	drank	0.06493972
18	sweet	0.05228602
18	bitter	0.03473797
18	delicious	0.01730930
18	insipid	0.01683180
18	drunk	0.01432494
18	eating	0.01313119
18	eaten	0.01169870
18	disgusting	0.01086308
18	sour	0.01002746
18	flavour	0.00990808
18	tasted	0.00954996
18	disgust	0.00823684
18	flavor	0.00823684
18	relish	0.00799809
18	ate	0.00608810
18	partake	0.00608810
18	pungent	0.00608810
18	sweetened	0.00572997
18	stale	0.00525248
18	acid	0.00513310
18	seasoned	0.00441686
