span	word	percentage
1600-1699	acid	0.89
1600-1699	acide	0.32
1600-1699	acidity	0.07
1600-1699	acidnesse	0.04
1600-1699	appetize	0.07
1600-1699	aromatise	0.04
1600-1699	bitter	3.75
1600-1699	bittere	0.07
1600-1699	bitterness	0.96
1600-1699	dainty	0.46
1600-1699	delectable	0.14
1600-1699	delicacy	0.11
1600-1699	delicious	1.00
1600-1699	digestible	0.14
1600-1699	disgust	0.21
1600-1699	disgusting	0.11
1600-1699	displease	0.04
1600-1699	distaste	0.14
1600-1699	distasteful	0.25
1600-1699	drank	0.86
1600-1699	dranke	0.04
1600-1699	drink	10.56
1600-1699	drinke	0.21
1600-1699	drinketh	0.11
1600-1699	drunk	1.07
1600-1699	drunke	0.07
1600-1699	eat	18.27
1600-1699	eate	0.11
1600-1699	eaten	3.10
1600-1699	flavor	0.21
1600-1699	flavour	0.29
1600-1699	gust	0.11
1600-1699	indigestible	0.07
1600-1699	insipid	0.93
1600-1699	insipidity	0.07
1600-1699	insulse	0.07
1600-1699	juycy	0.14
1600-1699	loathsome	0.07
1600-1699	lushiousness	0.04
1600-1699	mellow	0.07
1600-1699	palatable	0.50
1600-1699	partake	0.43
1600-1699	partook	0.04
1600-1699	piquant	0.07
1600-1699	pungent	0.36
1600-1699	rancid	0.25
1600-1699	rank	0.50
1600-1699	rankly	0.07
1600-1699	rankness	0.18
1600-1699	relish	0.89
1600-1699	rellish	0.04
1600-1699	rellishe	0.07
1600-1699	salt	0.07
1600-1699	sap	0.04
1600-1699	sapid	0.07
1600-1699	sapidity	0.04
1600-1699	sapor	0.04
1600-1699	savor	0.04
1600-1699	savory	0.14
1600-1699	savour	0.61
1600-1699	savoury	2.82
1600-1699	season	7.17
1600-1699	seasoneth	0.11
1600-1699	sharp	2.46
1600-1699	sharpness	0.14
1600-1699	sip	0.04
1600-1699	smack	0.11
1600-1699	softnesse	0.04
1600-1699	sour	0.96
1600-1699	soure	0.07
1600-1699	sower	0.93
1600-1699	sowerness	0.04
1600-1699	sowre	0.21
1600-1699	spicy	0.21
1600-1699	stale	1.07
1600-1699	sweet	18.34
1600-1699	sweete	0.11
1600-1699	sweeten	2.46
1600-1699	sweetest	0.07
1600-1699	sweetne	0.14
1600-1699	sweetness	0.25
1600-1699	sweetnesse	0.11
1600-1699	swet	0.07
1600-1699	swete	0.04
1600-1699	tart	0.68
1600-1699	tartness	0.04
1600-1699	tast	1.46
1600-1699	tastable	0.07
1600-1699	taste	9.28
1600-1699	tasteful	0.07
1600-1699	tastefull	0.07
1600-1699	tasteless	0.07
1600-1699	taster	0.07
1600-1699	tasteth	0.04
1600-1699	toste	0.04
1600-1699	unsavoury	0.36
1600-1699	unsweet	0.07
1700-1799	acid	0.63
1700-1799	acidity	0.17
1700-1799	appetency	0.04
